leftArm,leftForearm,rightArm,rightForearm,leftThigh,leftShin,rightThigh,rightShin,position:hips:x,position:hips:y,position:hips:z
-0.206124,2.073641,1.315315,-0.072213,0.527954,-0.171472,0.668954,-1.104284,0.00,-0.00,5.77
-0.172611,2.024532,1.280409,-0.021306,0.576434,-0.263918,0.680398,-1.104653,0.00,-0.00,5.77
-0.158589,2.003984,1.265805,0.000000,0.592366,-0.295437,0.685109,-1.104688,0.00,-0.00,5.77
0.318528,1.304804,0.768840,0.724890,0.812553,-0.848992,0.816699,-1.063626,0.00,-0.00,5.77
0.686860,0.765044,0.385189,1.284497,0.849007,-1.077191,0.875631,-0.972785,0.00,-0.00,5.77
0.959230,0.365908,0.101491,1.698309,0.838458,-1.197615,0.890735,-0.867183,0.00,-0.00,5.77
1.148467,0.088598,-0.095618,1.985817,0.815222,-1.261949,0.883717,-0.769599,0.00,-0.00,5.77
1.267399,-0.085688,-0.219496,2.166511,0.794437,-1.294963,0.870025,-0.694948,0.00,-0.00,5.77
1.328853,-0.175744,-0.283506,2.259878,0.782025,-1.310004,0.859587,-0.651411,0.00,-0.00,5.77
1.345658,-0.200371,-0.301011,2.285411,0.778386,-1.313819,0.856251,-0.638781,0.00,-0.00,5.77
1.330642,-0.178367,-0.285370,2.262597,0.781642,-1.310416,0.859242,-0.650082,0.00,-0.00,5.77
1.296633,-0.128528,-0.249946,2.210927,0.788618,-1.302222,0.865405,-0.674755,0.00,-0.00,5.77
1.256458,-0.069655,-0.208101,2.149889,0.796542,-1.292159,0.871598,-0.702273,0.00,-0.00,5.77
1.222947,-0.020543,-0.173195,2.098974,0.802749,-1.283277,0.876153,-0.724332,0.00,-0.00,5.77
1.208925,0.000000,-0.158591,2.077672,0.805237,-1.279430,0.877812,-0.733196,0.00,-0.00,5.77
0.764481,0.651297,0.304339,1.402426,0.848873,-1.115061,0.882650,-0.946375,0.00,-0.00,5.77
0.413574,1.165524,0.669843,0.869291,0.828562,-0.916824,0.835760,-1.045394,0.00,-0.00,5.77
0.146111,1.557465,0.948427,0.462938,0.768029,-0.703594,0.775828,-1.088029,0.00,-0.00,5.77
-0.047982,1.841907,1.150603,0.168037,0.680932,-0.483377,0.720652,-1.102500,0.00,-0.00,5.77
-0.178824,2.033634,1.286880,-0.030743,0.568628,-0.248728,0.678296,-1.104615,0.00,-0.00,5.77
-0.256479,2.147433,1.367765,-0.148722,0.395899,0.065170,0.651276,-1.102974,0.00,-0.00,5.77
-0.291046,2.198087,1.403770,-0.201240,0.403622,0.065166,0.638809,-1.101549,0.00,-0.00,5.77
-0.292613,2.200384,1.405402,-0.203621,0.403969,0.065166,0.638237,-1.101474,0.00,-0.00,5.77
-0.271270,2.169108,1.383172,-0.171195,0.399216,0.065170,0.645974,-1.102417,0.00,-0.00,5.77
-0.237107,2.119045,1.347588,-0.119290,0.446333,-0.025287,0.658145,-1.103585,0.00,-0.00,5.77
-0.200213,2.064980,1.309159,-0.063238,0.537921,-0.190113,0.670991,-1.104378,0.00,-0.00,5.77
-0.170678,2.021698,1.278395,-0.018361,0.578737,-0.268439,0.681050,-1.104662,0.00,-0.00,5.77
-0.158589,2.003984,1.265805,0.000000,0.592366,-0.295437,0.685109,-1.104688,0.00,-0.00,5.77
